ref_id,date,amount,merchant,memo
LEDGER-000001,2026-08-05,474.59,GITHUB,Payment for subscription
LEDGER-000002,2026-08-12,901.18,PAYPAL,Payment for invoice
LEDGER-000003,2026-07-26,377.64,SPOTIFY,Payment for goods
LEDGER-000004,2026-07-28,530.15,WALMART,Payment for invoice
LEDGER-000005,2026-08-07,696.02,WALMART,Payment for goods
LEDGER-000006,2026-08-06,428.44,NETFLIX,Payment for services
LEDGER-000007,2026-08-12,640.38,AWS,Payment for services
LEDGER-000008,2026-08-07,596.35,UBER,Payment for services
LEDGER-000009,2026-07-15,457.01,WALMART,Payment for services
LEDGER-000010,2026-07-20,916.2,APPLE,Payment for goods
LEDGER-000011,2026-07-25,745.35,NETFLIX,Payment for subscription
LEDGER-000012,2026-07-26,929.84,APPLE,Payment for invoice
LEDGER-000013,2026-08-11,891.72,PAYPAL,Payment for subscription
LEDGER-000014,2026-08-10,323.73,NETFLIX,Payment for invoice
LEDGER-000015,2026-07-18,691.58,GITHUB,Payment for subscription
LEDGER-000016,2026-07-18,63.57,NETFLIX,Payment for invoice
LEDGER-000017,2026-07-16,205.77,DOORDASH,Payment for goods
LEDGER-000018,2026-07-18,724.45,UBER,Payment for goods
LEDGER-000019,2026-07-16,753.25,AMAZON,Payment for invoice
LEDGER-000020,2026-07-20,298.9,STARBUCKS,Payment for subscription
LEDGER-000021,2026-08-01,958.65,STARBUCKS,Payment for subscription
LEDGER-000022,2026-07-31,9.34,AMAZON,Payment for goods
LEDGER-000023,2026-07-26,352.99,AMAZON,Payment for invoice
LEDGER-000024,2026-07-31,201.49,PAYPAL,Payment for subscription
LEDGER-000025,2026-08-06,440.4,MICROSOFT,Payment for services
LEDGER-000026,2026-07-29,929.97,UBER,Payment for subscription
LEDGER-000027,2026-07-25,283.84,MICROSOFT,Payment for goods
LEDGER-000028,2026-08-13,430.74,AWS,Payment for services
LEDGER-000029,2026-07-28,467.84,SPOTIFY,Payment for subscription
LEDGER-000030,2026-07-30,855.85,PAYPAL,Payment for invoice
LEDGER-000031,2026-08-06,984.46,SPOTIFY,Payment for services
LEDGER-000032,2026-07-27,480.34,MICROSOFT,Payment for services
LEDGER-000033,2026-07-22,539.02,AWS,Payment for subscription
LEDGER-000034,2026-08-09,783.29,UBER,Payment for goods
LEDGER-000035,2026-07-19,815.75,SPOTIFY,Payment for invoice
LEDGER-000036,2026-08-06,149.93,WALMART,Payment for services
LEDGER-000037,2026-07-22,346.51,AMAZON,Payment for invoice
LEDGER-000038,2026-07-22,697.14,PAYPAL,Payment for subscription
LEDGER-000039,2026-07-22,192.28,DOORDASH,Payment for goods
LEDGER-000040,2026-08-04,458.15,GITHUB,Payment for goods
LEDGER-000041,2026-07-17,970.57,SPOTIFY,Payment for services
LEDGER-000042,2026-08-05,994.37,DOORDASH,Payment for services
LEDGER-000043,2026-07-26,751.76,WALMART,Payment for invoice
LEDGER-000044,2026-07-29,514.73,STARBUCKS,Payment for services
LEDGER-000045,2026-08-04,517.2,SPOTIFY,Payment for invoice
LEDGER-000046,2026-07-25,73.83,APPLE,Payment for services
LEDGER-000047,2026-07-15,971.33,APPLE,Payment for invoice
LEDGER-000048,2026-08-11,955.05,SPOTIFY,Payment for subscription
LEDGER-000049,2026-07-16,781.12,NETFLIX,Payment for goods
LEDGER-000050,2026-08-02,849.25,UBER,Payment for invoice
LEDGER-000051,2026-07-20,402.37,NETFLIX,Payment for invoice
LEDGER-000052,2026-08-02,797.94,DOORDASH,Payment for goods
LEDGER-000053,2026-07-21,22.58,SPOTIFY,Payment for services
LEDGER-000054,2026-08-09,171.61,AWS,Payment for services
LEDGER-000055,2026-08-06,204.57,STARBUCKS,Payment for invoice
LEDGER-000056,2026-07-30,244.55,SPOTIFY,Payment for goods
LEDGER-000057,2026-08-05,81.68,STARBUCKS,Payment for services
LEDGER-000058,2026-08-10,733.17,PAYPAL,Payment for services
LEDGER-000059,2026-07-15,107.64,UBER,Payment for services
LEDGER-000060,2026-08-10,417.59,GITHUB,Payment for goods
LEDGER-000061,2026-08-12,225.08,WALMART,Payment for services
LEDGER-000062,2026-07-21,940.22,GITHUB,Payment for subscription
LEDGER-000063,2026-08-08,508.33,UBER,Payment for services
LEDGER-000064,2026-08-01,610.76,STARBUCKS,Payment for services
LEDGER-000065,2026-07-24,585.71,SPOTIFY,Payment for invoice
LEDGER-000066,2026-08-07,496.34,AWS,Payment for services
LEDGER-000067,2026-08-01,170.98,APPLE,Payment for goods
LEDGER-000068,2026-07-24,799.83,MICROSOFT,Payment for subscription
LEDGER-000069,2026-07-25,808.44,MICROSOFT,Payment for invoice
LEDGER-000070,2026-08-13,657.45,PAYPAL,Payment for invoice
LEDGER-000071,2026-08-06,132.8,MICROSOFT,Payment for invoice
LEDGER-000072,2026-08-09,577.58,AMAZON,Payment for services
LEDGER-000073,2026-08-09,285.4,AWS,Payment for invoice
LEDGER-000074,2026-07-25,264.0,GITHUB,Payment for subscription
LEDGER-000075,2026-07-28,613.83,AMAZON,Payment for subscription
LEDGER-000076,2026-07-16,626.36,STARBUCKS,Payment for subscription
